goods_id		goods_name	goods_tips	first_type	second_type	icon_path	max_own	stack_num	if_die_drop	if_pic_actor	detail_pic	detail_actor	s_skin_data	detail_actor_anim	detail_actor_scale	detail_actor_rotateY
60001	哈雷	g2055_item_harley		2	1				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_halei.actor			1	-30
60011	皮卡	g2055_item_pika		2	2				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_pika.actor			0.5	-30
60012	轿车	g2055_item_benchi		2	2				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_benchi.actor			0.5	-30
60021	保时捷	g2055_item_porsche		2	2				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_baoshijie.actor			0.5	-30
60031	兰博基尼	g2055_item_lamborghini		2	2				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_lanbojini.actor			0.5	-30
60032	布加迪	g2055_item_bugatti		2	2				0	1	gameres|asset/Imageset/g2055_scenes:icon_0_car_01	g2055_vehicle_bugatti.actor			0.5	-30
40006	初始装扮-1上半身纹身	g2055_item_dress_1_6		3	3				0	2			clothes_tops=g2055_costume_01_tattoo_01		1	0
40011	街头装扮-2头	g2055_item_dress_2_1		3	1				0	2			custom_hair=g2055_costume_02		1	0
40012	街头装扮-2脸	g2055_item_dress_2_2		3	2				0	2			custom_face=g2055_costume_02		1	0
40013	街头装扮-2衣服	g2055_item_dress_2_3		3	3				0	2			clothes_tops=g2055_costume_02		1	0
40014	街头装扮-2下装	g2055_item_dress_2_4		3	4				0	2			clothes_pants=g2055_costume_02_tattoo_01		1	0
40015	街头装扮-2鞋子	g2055_item_dress_2_5		3	5				0	2			custom_shoes=g2055_costume_02		1	0
40021	劫匪装扮-2头	g2055_item_dress_3_1		3	1				0	2			custom_hair=g2055_costume_03		1	0
40022	劫匪装扮-2脸	g2055_item_dress_3_2		3	2				0	2			custom_face=g2055_costume_03		1	0
40023	劫匪装扮-2衣服	g2055_item_dress_3_3		3	3				0	2			clothes_tops=g2055_costume_03		1	0
40024	劫匪装扮-2下装	g2055_item_dress_3_4		3	4				0	2			clothes_pants=g2055_costume_03		1	0
40025	劫匪装扮-2鞋子	g2055_item_dress_3_5		3	5				0	2			custom_shoes=g2055_costume_03		1	0
