n_id	s_description	s_reborn	s_door	s_closet	s_armory	s_vault	s_garage	s_took_kit	s_closet_effect	s_armory_effect	s_vault_effect	s_took_kit_effect	s_park	s_carposition	s_doorplate
10		37.35,30.67,107.27#0,165,0	45.99,30.2,106.56#0,270,0	44.64,29.55,101.37#0,270,0	42.3,29.55,97.18#0,90,0	44.99,29.55,98.13#0,270,0	45.89,29.55,110.21#0,270,0	37.83,29.55,97.91#0,0,0	45.54,31.55,101.37#0,180,0	42.3,29.55,97.18#0,90,0	45.54,31.43,98.13#0,0,0	38.34,31.2,96.99#0,270,0	50.99,30,101.56	50.99,30,111.56	46.14,33,102.56#0,270,0
6		-12.33,30.67,133.883#0,165,0	-3.69,30.2,133.173#0,270,0	-5.04,29.55,127.983#0,270,0	-7.38,29.55,123.793#0,90,0	-4.69,29.55,124.743#0,270,0	-3.79,29.55,136.823#0,270,0	-11.85,29.55,124.523#0,0,0	-4.14,31.55,127.983#0,180,0	-7.38,29.55,123.793#0,90,0	-4.14,31.43,124.743#0,0,0	-11.34,31.2,123.603#0,270,0	1.31,30,128.173	1.31,30,138.173	-3.54,33,129.173#0,270,0
27		-122.88,30.67,113.84#0,165,0	-114.24,30.2,113.13#0,270,0	-115.59,29.55,107.94#0,270,0	-117.93,29.55,103.75#0,90,0	-115.24,29.55,104.7#0,270,0	-114.34,29.55,116.78#0,270,0	-122.4,29.55,104.48#0,0,0	-114.69,31.55,107.94#0,180,0	-117.93,29.55,103.75#0,90,0	-114.69,31.43,104.7#0,0,0	-121.89,31.2,103.56#0,270,0	-109.24,30,108.13	-109.24,30,118.13	-113.92,33,109.13#0,270,0
28		-124.78,30.67,136.28#0,165,0	-116.14,30.2,135.57#0,270,0	-117.49,29.55,130.38#0,270,0	-119.83,29.55,126.19#0,90,0	-117.14,29.55,127.14#0,270,0	-116.24,29.55,139.22#0,270,0	-124.3,29.55,126.92#0,0,0	-116.59,31.55,130.38#0,180,0	-119.83,29.55,126.19#0,90,0	-116.59,31.43,127.14#0,0,0	-123.79,31.2,126#0,270,0	-111.14,30,130.57	-111.14,30,140.57	-115.99,33,131.57#0,270,0
2		-45.88,30.67,123.37#0,165,0	-37.24,30.2,122.66#0,270,0	-38.59,29.55,117.47#0,270,0	-40.93,29.55,113.28#0,90,0	-38.24,29.55,114.23#0,270,0	-37.34,29.55,126.31#0,270,0	-45.4,29.55,114.01#0,0,0	-37.69,31.55,117.47#0,180,0	-40.93,29.55,113.28#0,90,0	-37.69,31.43,114.23#0,0,0	-44.89,31.2,113.09#0,270,0	-32.24,30,117.66	-32.24,30,127.66	-37.09,33,118.66#0,270,0
30		-66.52,30.67,134.987#0,165,0	-57.88,30.2,134.277#0,270,0	-59.23,29.55,129.087#0,270,0	-61.57,29.55,124.897#0,90,0	-58.88,29.55,125.847#0,270,0	-57.98,29.55,137.927#0,270,0	-66.04,29.55,125.627#0,0,0	-58.33,31.55,129.087#0,180,0	-61.57,29.55,124.897#0,90,0	-58.33,31.43,125.847#0,0,0	-65.53,31.2,124.707#0,270,0	-52.88,30,129.277	-52.88,30,139.277	-57.73,33,130.277#0,270,0
25		-53.09,30.67,107.88#0,75,0	-53.8,30.2,99.24#0,180,0	-58.99,29.55,100.59#0,180,0	-63.18,29.55,102.93#0,0,0	-62.23,29.55,100.24#0,180,0	-50.15,29.55,99.34#0,180,0	-62.45,29.55,107.4#0,270,0	-58.99,31.55,99.69#0,270,0	-63.18,29.55,102.93#0,180,0	-62.23,31.43,99.69#0,90,0	-63.37,31.2,106.89#0,0,0	-58.8,30,94.24#0,90,0	-48.8,30,94.24	-57.8,33,99.09
9		54.75,30.67,141.83#0,75,0	54.04,30.2,133.19#0,180,0	48.85,29.55,134.54#0,180,0	44.66,29.55,136.88#0,0,0	45.61,29.55,134.19#0,180,0	57.69,29.55,133.29#0,180,0	45.39,29.55,141.35#0,270,0	48.85,31.55,133.64#0,270,0	44.66,29.55,136.88#0,180,0	45.61,31.43,133.64#0,90,0	44.47,31.2,140.84#0,0,0	49.04,30,128.19#0,90,0	59.04,30,128.19	50.04,33,133.04
8		35.67,30.67,141.82#0,75,0	34.96,30.2,133.18#0,180,0	29.77,29.55,134.53#0,180,0	25.58,29.55,136.87#0,0,0	26.53,29.55,134.18#0,180,0	38.61,29.55,133.28#0,180,0	26.31,29.55,141.34#0,270,0	29.77,31.55,133.63#0,270,0	25.58,29.55,136.87#0,180,0	26.53,31.43,133.63#0,90,0	25.39,31.2,140.83#0,0,0	29.96,30,128.18#0,90,0	39.96,30,128.18	30.96,33,133.03
7		16.27,30.67,141.82#0,75,0	15.56,30.2,133.18#0,180,0	10.37,29.55,134.53#0,180,0	6.18,29.55,136.87#0,0,0	7.13,29.55,134.18#0,180,0	19.21,29.55,133.28#0,180,0	6.91,29.55,141.34#0,270,0	10.37,31.55,133.63#0,270,0	6.18,29.55,136.87#0,180,0	7.13,31.43,133.63#0,90,0	5.99,31.2,140.83#0,0,0	10.56,30,128.18#0,90,0	20.56,30,128.18	11.56,33,133.03
23		138.6,30.67,105.25#0,75,0	138.26,30.65,95.61#0,180,0	133.07,30,96.96#0,180,0	128.88,30,99.3#0,0,0	129.83,30,96.61#0,180,0	141.91,30,95.66#0,180,0	129.61,30,103.77#0,270,0	133.07,32,96.06#0,270,0	128.88,30,99.3#0,180,0	129.83,31.88,96.06#0,90,0	128.69,31.65,103.26#0,0,0	133.26,30,90.61#0,90,0	143.26,30,90.61	134.26,33,95.29
13		72,30.67,101.16#0,75,0	71.29,30.2,92.52#0,180,0	66.1,29.55,93.87#0,180,0	61.91,29.55,96.21#0,0,0	62.86,29.55,93.52#0,180,0	74.94,29.55,92.62#0,180,0	62.64,29.55,100.68#0,270,0	66.1,31.55,92.97#0,270,0	61.91,29.55,96.21#0,180,0	62.86,31.43,92.97#0,90,0	61.72,31.2,100.17#0,0,0	66.29,30,87.52#0,90,0	76.29,30,87.52	67.29,33,92.2
15		92.84,30.67,90.52#0,75,0	92.5,30.65,80.88#0,180,0	87.31,30,82.23#0,180,0	83.12,30,84.57#0,0,0	84.07,30,81.88#0,180,0	96.15,30,80.93#0,180,0	83.85,30,89.04#0,270,0	87.31,32,81.33#0,270,0	83.12,30,84.57#0,180,0	84.07,31.88,81.33#0,90,0	82.93,31.65,88.53#0,0,0	87.5,30,75.88#0,90,0	97.5,30,75.88	88.5,33,80.56
26		-78.12,30.67,140.959#0,75,0	-78.83,30.2,132.319#0,180,0	-84.02,29.55,133.669#0,180,0	-88.21,29.55,136.009#0,0,0	-87.26,29.55,133.319#0,180,0	-75.18,29.55,132.419#0,180,0	-87.48,29.55,140.479#0,270,0	-84.02,31.55,132.769#0,270,0	-88.21,29.55,136.009#0,180,0	-87.26,31.43,132.769#0,90,0	-88.4,31.2,139.969#0,0,0	-83.83,30,127.319#0,90,0	-73.83,30,127.319	-82.83,33,131.999
3		-25.11,30.67,139.63#0,75,0	-25.82,30.2,130.99#0,180,0	-31.01,29.55,132.34#0,180,0	-35.2,29.55,134.68#0,0,0	-34.25,29.55,131.99#0,180,0	-22.17,29.55,131.09#0,180,0	-34.47,29.55,139.15#0,270,0	-31.01,31.55,131.44#0,270,0	-35.2,29.55,134.68#0,180,0	-34.25,31.43,131.44#0,90,0	-35.39,31.2,138.64#0,0,0	-30.82,30,125.99#0,90,0	-20.82,30,125.99	-29.82,33,130.67
22		115.2,30.67,105.63#0,75,0	114.86,30.65,95.99#0,180,0	109.67,30,97.34#0,180,0	105.48,30,99.68#0,0,0	106.43,30,96.99#0,180,0	118.51,30,96.04#0,180,0	106.21,30,104.15#0,270,0	109.67,32,96.44#0,270,0	105.48,30,99.68#0,180,0	106.43,31.88,96.44#0,90,0	105.29,31.65,103.64#0,0,0	109.86,30,90.99#0,90,0	119.86,30,90.99	110.86,33,95.67
17		119.56,30.67,21.31#0,255,0	119.9,30.65,30.95#0,0,0	125.09,30,29.6#0,0,0	129.28,30,27.26#0,180,0	128.33,30,29.95#0,0,0	116.25,30,30.9#0,0,0	128.55,30,22.79#0,90,0	125.09,32,30.5#0,90,0	129.28,30,27.26#0,0,0	128.33,31.88,30.5#0,270,0	129.47,31.65,23.3#0,180,0	124.9,30,35.95#0,270,0	114.9,30,35.95	123.9,33,31.27#0,180,0
16		94.05,30.67,21.405#0,255,0	94.39,30.65,31.045#0,0,0	99.58,30,29.695#0,0,0	103.77,30,27.355#0,180,0	102.82,30,30.045#0,0,0	90.74,30,30.995#0,0,0	103.04,30,22.885#0,90,0	99.58,32,30.595#0,90,0	103.77,30,27.355#0,0,0	102.82,31.88,30.595#0,270,0	103.96,31.65,23.395#0,180,0	99.39,30,36.045#0,270,0	89.39,30,36.045	98.39,33,31.365#0,180,0
18		146.65,30.67,20.83#0,255,0	146.99,30.65,30.47#0,0,0	152.18,30,29.12#0,0,0	156.37,30,26.78#0,180,0	155.42,30,29.47#0,0,0	143.34,30,30.42#0,0,0	155.64,30,22.31#0,90,0	152.18,32,30.02#0,90,0	156.37,30,26.78#0,0,0	155.42,31.88,30.02#0,270,0	156.56,31.65,22.82#0,180,0	151.99,30,35.47#0,270,0	141.99,30,35.47	150.99,33,30.79#0,180,0
5		-1.77,30.67,97.34#0,255,0	-1.06,30.2,105.98#0,0,0	4.13,29.55,104.63#0,0,0	8.32,29.55,102.29#0,180,0	7.37,29.55,104.98#0,0,0	-4.71,29.55,105.88#0,0,0	7.59,29.55,97.82#0,90,0	4.13,31.55,105.53#0,90,0	8.32,29.55,102.29#0,0,0	7.37,31.43,105.53#0,270,0	8.51,31.2,98.33#0,180,0	3.94,30,110.98#0,270,0	-6.06,30,110.98	2.94,33,106.13#0,180,0
14		90.42,30.67,50.18#0,255,0	90.76,30.65,59.82#0,0,0	95.95,30,58.47#0,0,0	100.14,30,56.13#0,180,0	99.19,30,58.82#0,0,0	87.11,30,59.77#0,0,0	99.41,30,51.66#0,90,0	95.95,32,59.37#0,90,0	100.14,30,56.13#0,0,0	99.19,31.88,59.37#0,270,0	100.33,31.65,52.17#0,180,0	95.76,30,64.82#0,270,0	85.76,30,64.82	94.76,33,60.14#0,180,0
31		205.08,30.67,54.9#0,345,0	195.44,30.65,55.24#0,90,0	196.79,30,60.43#0,90,0	199.13,30,64.62#0,270,0	196.44,30,63.67#0,90,0	195.49,30,51.59#0,90,0	203.6,30,63.89#0,180,0	195.89,32,60.43#0,0,0	199.13,30,64.62#0,270,0	195.89,31.88,63.67#0,180,0	203.09,31.65,64.81#0,90,0	190.44,30,50.24	190.44,30,60.24	195.12,33,59.24#0,90,0
32		204.63,30.67,31.62#0,345,0	194.99,30.65,31.96#0,90,0	196.34,30,37.15#0,90,0	198.68,30,41.34#0,270,0	195.99,30,40.39#0,90,0	195.04,30,28.31#0,90,0	203.15,30,40.61#0,180,0	195.44,32,37.15#0,0,0	198.68,30,41.34#0,270,0	195.44,31.88,40.39#0,180,0	202.64,31.65,41.53#0,90,0	189.99,30,26.96	189.99,30,36.96	194.67,33,35.96#0,90,0
33		175.59,30.67,61.39#0,75,0	175.25,30.65,51.75#0,180,0	170.06,30,53.1#0,180,0	165.87,30,55.44#0,0,0	166.82,30,52.75#0,180,0	178.9,30,51.8#0,180,0	166.6,30,59.91#0,270,0	170.06,32,52.2#0,270,0	165.87,30,55.44#0,180,0	166.82,31.88,52.2#0,90,0	165.68,31.65,59.4#0,0,0	170.25,30,46.75#0,90,0	180.25,30,46.75	171.25,33,51.43
