n_id	Unnamed	weapon_damage_level	s_name	s_desc	s_item_icon	s_long_item_icon	s_item_model	s_fire	n_bullet_count	s_part	n_price	n_currency_type	n_bullet_price	n_bullet_currency_type
101009	剃刀帽	1	g2055_item_peaky	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_peaky	gameres|asset/Imageset/g2055_weapons:g2055_peaky_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_peaky	300	gun:g2055_weapon_peaky	30000	3	0	3
101010	西瓜刀	1	g2055_item_watermelonknife	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_watermelonknife	gameres|asset/Imageset/g2055_weapons:g2055_watermelonknife_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_watermelonknife	100	gun:g2055_weapon_watermelonknife	15000	3	0	3
101011	撬棍	1	g2055_item_crowbar	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_crowbar1	gameres|asset/Imageset/g2055_weapons:g2055_crowbar_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_crowbar	150	gun:g2055_weapon_crowbar	8000	3	0	3
101012	黄金大锤	1	g2055_item_constructionhammer	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_constructionhammer	gameres|asset/Imageset/g2055_weapons:g2055_constructionhammer_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_constructionhammer	200	gun:g2055_weapon_constructionhammer	50000	3	0	3
101013	长铁管	1	g2055_item_steelpipe	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_steelpipe	gameres|asset/Imageset/g2055_weapons:g2055_steelpipe_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_steelpipe	100	gun:g2055_weapon_steelpipe	3000	3	0	3
101014	冰球棍	1	g2055_item_icehockeystick	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_icehockeystick	gameres|asset/Imageset/g2055_weapons:g2055_icehockeystick_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_icehockeystick	200	gun:g2055_weapon_icehockeystick	30000	3	0	3
101015	匕首	1	g2055_item_dagger	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_dagger	gameres|asset/Imageset/g2055_weapons:g2055_dagger_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_dagger	10	gun:g2055_weapon_dagger	500000	3	0	3
101016	三棱刺	1	g2055_item_triangularspine	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_triangularspine	gameres|asset/Imageset/g2055_weapons:g2055_triangularspine_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_triangularspine	10	gun:g2055_weapon_triangularspine	500000	3	0	3
101017	钢筋	1	g2055_item_ironrod	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_ironrod	gameres|asset/Imageset/g2055_weapons:g2055_ironrod_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_ironrod	10	gun:g2055_weapon_ironrod	500000	3	0	3
101018	尼泊尔	1	g2055_item_nepalesemachete	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_nepalesemachete	gameres|asset/Imageset/g2055_weapons:g2055_nepalesemachete_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_nepalesemachete	10	gun:g2055_weapon_nepalesemachete	500000	3	0	3
101019	铁链	1	g2055_item_ironchain	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_ironchain	gameres|asset/Imageset/g2055_weapons:g2055_ironchain_01	myplugin/item_g2045_icon_gun_101	myplugin/melee_ironchain	10	gun:g2055_weapon_ironchain	500000	3	0	3
102001	手枪	2	g2055_item_pistol	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_pistol	gameres|asset/Imageset/g2055_weapons:g2055_pistol01	myplugin/item_g2045_icon_gun_101	myplugin/weapon_05	100	gun:g2055_gun_pistol	100000	3	30	3
102002	黄金AK	2	g2055_item_goldak	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_goldAK	gameres|asset/Imageset/g2055_weapons:g2055_goldAK_01	myplugin/item_g2045_icon_gun_101	myplugin/weapon_01	200	gun:g2055_gun_goldak	300000	3	50	3
102003	霰弹枪	2	g2055_item_shotgun	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_shotgun	gameres|asset/Imageset/g2055_weapons:g2055_shotgun_01	myplugin/item_g2045_icon_gun_101	myplugin/weapon_03	30	gun:g2055_gun_shotgun	200000	3	200	3
102004	加特林	2	g2055_item_minigun	g2050.name.gun.desc.110001	gameres|asset/Imageset/g2055_weapons:g2055_minigun	gameres|asset/Imageset/g2055_weapons:g2055_minigun_01	myplugin/item_g2045_icon_gun_101	myplugin/weapon_02	300	gun:g2055_gun_minigun	500000	3	100	3
