n_id	s_description	n_part	b_is_tattoo	s_skin_data	s_icon_boy	s_icon_girl	n_price	n_currency_type
40034		4	0	clothes_pants=g2055_costume_04	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_04	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_04	800000	3
40035		5	0	custom_shoes=g2055_costume_04	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_04	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_04	200000	3
40041		1	0	custom_hair=g2055_costume_05	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_05_boy	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_05_girl	40000	3
40042		2	0	custom_face=g2055_costume_05	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_05_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_05_girl	40000	3
40043		3	0	clothes_tops=g2055_costume_05	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_05_boy	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_05_girl	320000	3
40044		4	0	clothes_pants=g2055_costume_05	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_05_boy	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_05_girl	320000	3
40045		5	0	custom_shoes=g2055_costume_05	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_05_boy	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_05_girl	80000	3
40051		1	0	custom_hair=g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_06	250000	3
40052		2	0	custom_face=g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_06_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_06_girl	250000	3
40053		3	0	clothes_tops=g2055_costume_06	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_06	2000000	3
40054		4	0	clothes_pants=g2055_costume_06	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_06	2000000	3
40055		5	0	custom_shoes=g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	500000	3
40061		1	0	custom_hair=g2055_costume_07	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40062		2	0	custom_face=g2055_costume_07	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40063		3	0	clothes_tops=g2055_costume_07	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40064		4	0	clothes_pants=g2055_costume_07	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40065		5	0	custom_shoes=g2055_costume_07	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40071		1	0	custom_hair=g2055_costume_08	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_08	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_08	5000	3
40072		2	0	custom_face=g2055_costume_08	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_08_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_08_girl	0	3
40073		3	0	clothes_tops=g2055_costume_08	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_08	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_08	20000	3
40074		4	0	clothes_pants=g2055_costume_08	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_08	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_08	20000	3
40075		5	0	custom_shoes=g2055_costume_08	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_08	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_08	5000	3
40081		1	0	custom_hair=g2055_costume_09	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40082		2	0	custom_face=g2055_costume_09	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40083		3	0	clothes_tops=g2055_costume_09	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40084		4	0	clothes_pants=g2055_costume_09	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40085		5	0	custom_shoes=g2055_costume_09	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40091		1	0	custom_hair=g2055_costume_10	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_10	gameres|asset/Imageset/g2055_clothing:custom_hair_g2055_costume_10	10000	3
40092		2	0	custom_face=g2055_costume_10	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_10_boy	gameres|asset/Imageset/g2055_clothing:custom_face_g2055_costume_10_girl	10000	3
40093		3	0	clothes_tops=g2055_costume_10	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_10	gameres|asset/Imageset/g2055_clothing:clothes_tops_g2055_costume_10	80000	3
40094		4	0	clothes_pants=g2055_costume_10	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_10	gameres|asset/Imageset/g2055_clothing:clothes_pants_g2055_costume_10	80000	3
40095		5	0	custom_shoes=g2055_costume_10	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_10	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_10	20000	3
40101		1	0	custom_hair=g2055_costume_11	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40102		2	0	custom_face=g2055_costume_11	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40103		3	0	clothes_tops=g2055_costume_11	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40104		4	0	clothes_pants=g2055_costume_11	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40105		5	0	custom_shoes=g2055_costume_11	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
40106		3	1	clothes_tops=g2055_costume_11_tattoo_01	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	gameres|asset/Imageset/g2055_clothing:custom_shoes_g2055_costume_06	99999999	3
