id	remark	key	sound	loop	volume
50	命中敌人非要害	g2055_battle_hitNormal	/sound/g2055_battle_hitNormal.mp3	0	1
51	命中敌人要害	g2055_battle_hitCritical	/sound/g2055_battle_hitCritical.mp3	0	1
52	手枪开枪	g2055_pistol_shoot	/sound/g2055_pistol_shoot.mp3	0	1
53	AK开枪	g2055_goldAK_shoot	/sound/g2055_goldAK_shoot.mp3	0	1
54	霰弹开枪	g2055_shotgun_shot	/sound/g2055_shotgun_shot.mp3	0	1
55	加特林开枪	g2055_minigun_shot	/sound/g2055_minigun_shot.mp3	0	1
56	拳头命中非玩家	g2055_punch_hitNonPlayer	/sound/g2055_punch_hitNonPlayer.mp3	0	1
57	拳头命中玩家	g2055_punch_hitPlayer	/sound/g2055_punch_hitPlayer.mp3	0	1
58	钝器命中非玩家	g2055_blunt_hitNonPlayer	/sound/g2055_blunt_hitNonPlayer.mp3	0	1
59	钝器命中玩家	g2055_blunt_hitPlayer	/sound/g2055_blunt_hitPlayer.mp3	0	1
60	刀命中非玩家	g2055_cut_hitNonPlayer	/sound/g2055_cut_hitNonPlayer.mp3	0	1
61	刀命中玩家	g2055_cut_hitPlayer	/sound/g2055_cut_hitPlayer.mp3	0	1
62	捅命中非玩家	g2055_stab_hitNonPlayer	/sound/g2055_stab_hitNonPlayer.mp3	0	1
63	捅命中玩家	g2055_stab_hitPlayer	/sound/g2055_stab_hitPlayer.mp3	0	1
64	没子弹	g2055_gun_bulletRunOut	/sound/g2055_gun_bulletRunOut.mp3	0	1
65	ATM被攻击	g2055_ATM_hit	/sound/g2055_ATM_hit.mp3	0	1
66	ATM爆炸	g2055_ATM_broken	/sound/g2055_ATM_broken.mp3	0	5
67	砖头破碎	g2055_brick_crash	/sound/g2055_brick_crash.mp3	0	4
